,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15294,500674,SANOFI,Sanofi India Ltd,29 Jun 2020,Special Dividend - Rs. - 243.0000,-,01 Jul 2020,07 Jul 2020,24 Jun 2020,30 Jun 2020,-
15295,500674,SANOFI,Sanofi India Ltd,29 Jun 2020,Final Dividend - Rs. - 106.0000,-,01 Jul 2020,07 Jul 2020,24 Jun 2020,30 Jun 2020,-
15296,540222,LAURUSLABS,Laurus Labs Ltd,01 Jul 2020,Final Dividend - Rs. - 1.0000,-,03 Jul 2020,09 Jul 2020,26 Jun 2020,02 Jul 2020,-
15297,501301,TATAINVEST,Tata Investment Corporation Ltd,01 Jul 2020,Dividend - Rs. - 18.0000,-,03 Jul 2020,09 Jul 2020,26 Jun 2020,02 Jul 2020,-
15298,500104,HINDPETRO,Hindustan Petroleum Corporation Ltd,02 Jul 2020,Final Dividend - Rs. - 9.7500,-,06 Jul 2020,10 Jul 2020,29 Jun 2020,03 Jul 2020,-
15299,526299,MPHASIS,Mphasis Ltd,02 Jul 2020,Final Dividend - Rs. - 35.0000,-,04 Jul 2020,23 Jul 2020,29 Jun 2020,02 Jul 2020,-
15300,500325,RELIANCE,Reliance Industries Ltd,02 Jul 2020,Dividend - Rs. - 6.5000,03 Jul 2020,-,-,26 Jun 2020,02 Jul 2020,-
15301,590071,SUNDARMFIN,Sundaram Finance Ltd,02 Jul 2020,Final Dividend - Rs. - 3.0000,-,04 Jul 2020,22 Jul 2020,29 Jun 2020,02 Jul 2020,-
15302,500407,SWARAJENG,Swaraj Engines Ltd,02 Jul 2020,Dividend - Rs. - 25.0000,-,04 Jul 2020,10 Jul 2020,29 Jun 2020,02 Jul 2020,-
15303,500407,SWARAJENG,Swaraj Engines Ltd,02 Jul 2020,Special Dividend - Rs. - 15.0000,-,04 Jul 2020,10 Jul 2020,29 Jun 2020,02 Jul 2020,-
15304,500875,ITC,ITC Ltd,06 Jul 2020,Dividend - Rs. - 10.1500,-,08 Jul 2020,09 Jul 2020,01 Jul 2020,07 Jul 2020,-
15305,500228,JSWSTEEL,JSW Steel Ltd,06 Jul 2020,Final Dividend - Rs. - 2.0000,-,08 Jul 2020,10 Jul 2020,01 Jul 2020,07 Jul 2020,-
15306,526433,ASMTEC,ASM Technologies Ltd,07 Jul 2020,Final Dividend - Rs. - 2.5000,-,09 Jul 2020,10 Jul 2020,02 Jul 2020,08 Jul 2020,-
15307,540143,SAGARSOFT,Sagarsoft (India) Ltd,07 Jul 2020,Dividend - Rs. - 1.5000,-,09 Jul 2020,15 Jul 2020,02 Jul 2020,08 Jul 2020,-
15308,500020,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,08 Jul 2020,Dividend - Rs. - 0.2000,-,10 Jul 2020,15 Jul 2020,03 Jul 2020,09 Jul 2020,-
15309,540115,LTTS,L&T Technology Services Ltd,08 Jul 2020,Final Dividend - Rs. - 13.5000,-,10 Jul 2020,17 Jul 2020,03 Jul 2020,09 Jul 2020,-
15310,522249,MAYURUNIQ,Mayur Uniquoters Ltd,08 Jul 2020,Final Dividend - Rs. - 1.0000,-,10 Jul 2020,11 Jul 2020,03 Jul 2020,09 Jul 2020,-
15311,517536,ONWARDTEC,Onward Technologies Ltd,08 Jul 2020,Final Dividend - Rs. - 1.5000,-,10 Jul 2020,16 Jul 2020,03 Jul 2020,09 Jul 2020,-
15312,540025,ADVENZYMES,Advanced Enzyme Technologies Ltd,09 Jul 2020,Final Dividend - Rs. - 0.6000,-,11 Jul 2020,15 Jul 2020,06 Jul 2020,09 Jul 2020,-
15313,541729,HDFCAMC,HDFC Asset Management Company Ltd,09 Jul 2020,Dividend - Rs. - 28.0000,-,11 Jul 2020,23 Jul 2020,06 Jul 2020,09 Jul 2020,-
